                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.5099,                  1.195,                 1.1913,                0.48319,                0.38348,                0.38829,                 0.2276,                 1.4132,                  1.106,                 1.1592,               0.007855,               0.007855,               0.007855
                     68,                 1.5017,                 1.1842,                 1.1892,                0.48871,                0.37865,                0.38773,                0.22704,                  1.411,                 1.1044,                 1.1582,               0.007822,               0.007822,               0.007822
                     69,                 1.5051,                 1.1825,                 1.1915,                0.49749,                0.37727,                 0.3882,                0.22788,                 1.4107,                 1.1014,                 1.1575,               0.007789,               0.007789,               0.007789
                     70,                 1.5007,                 1.1805,                 1.1897,                0.48831,                0.38208,                0.38917,                0.22897,                 1.4096,                  1.099,                 1.1572,               0.007756,               0.007756,               0.007756
                     71,                 1.4997,                 1.1784,                 1.1927,                0.49373,                0.38294,                0.39132,                0.23057,                 1.4075,                 1.0983,                 1.1565,               0.007723,               0.007723,               0.007723
                     72,                 1.4993,                 1.1756,                 1.1868,                0.49551,                0.38217,                0.39241,                0.23084,                 1.4039,                 1.0946,                 1.1542,                0.00769,                0.00769,                0.00769
                     73,                 1.4915,                  1.174,                 1.1865,                0.49971,                0.37779,                0.39092,                0.23086,                 1.4067,                  1.096,                 1.1553,               0.007657,               0.007657,               0.007657
                     74,                 1.4997,                 1.1776,                 1.1917,                0.48923,                0.38398,                0.39584,                0.23326,                 1.4012,                  1.092,                 1.1524,               0.007624,               0.007624,               0.007624
                     75,                 1.4899,                 1.1702,                 1.1869,                0.50236,                0.38215,                0.39725,                0.23355,                  1.401,                 1.0911,                 1.1531,               0.007591,               0.007591,               0.007591
                     76,                 1.4917,                 1.1705,                 1.1856,                0.49169,                0.38558,                0.39472,                0.23216,                 1.4002,                 1.0923,                  1.151,               0.007558,               0.007558,               0.007558
                     77,                 1.4894,                  1.168,                 1.1839,                 0.5005,                0.39057,                0.39846,                0.23401,                 1.3972,                 1.0864,                 1.1497,               0.007525,               0.007525,               0.007525
                     78,                 1.4991,                 1.1752,                 1.1843,                0.49978,                0.38871,                0.39912,                 0.2352,                 1.4011,                 1.0862,                 1.1511,               0.007492,               0.007492,               0.007492
                     79,                 1.4906,                 1.1654,                 1.1843,                 0.5027,                0.38823,                0.39843,                0.23407,                 1.3996,                 1.0857,                 1.1509,               0.007459,               0.007459,               0.007459
                     80,                 1.4844,                 1.1616,                 1.1787,                0.49706,                0.38811,                0.39908,                0.23499,                 1.3975,                 1.0843,                 1.1495,               0.007426,               0.007426,               0.007426
                     81,                 1.4902,                  1.165,                 1.1868,                0.50479,                0.38899,                0.39901,                0.23445,                 1.3956,                 1.0827,                 1.1487,               0.007393,               0.007393,               0.007393
                     82,                 1.4847,                 1.1606,                 1.1819,                0.50172,                0.39043,                0.40186,                0.23612,                  1.396,                 1.0808,                 1.1483,                0.00736,                0.00736,                0.00736
                     83,                 1.4844,                 1.1537,                 1.1785,                0.50225,                0.38894,                0.39988,                0.23601,                 1.3964,                 1.0812,                 1.1487,               0.007327,               0.007327,               0.007327
                     84,                 1.4818,                 1.1499,                 1.1777,                0.50325,                0.38655,                0.39902,                0.23635,                 1.3935,                 1.0803,                 1.1475,               0.007294,               0.007294,               0.007294
                     85,                 1.4844,                 1.1608,                 1.1848,                0.50706,                0.38562,                0.40111,                0.23786,                 1.3931,                 1.0802,                 1.1474,               0.007261,               0.007261,               0.007261
                     86,                 1.4801,                 1.1524,                 1.1737,                0.50519,                0.38902,                0.40247,                0.23771,                 1.3921,                 1.0778,                 1.1466,               0.007228,               0.007228,               0.007228
                     87,                 1.4793,                 1.1512,                 1.1804,                0.50303,                0.39166,                0.40268,                0.23867,                 1.3916,                 1.0764,                  1.146,               0.007195,               0.007195,               0.007195
                     88,                   1.47,                 1.1425,                 1.1753,                0.50927,                0.38898,                0.40212,                0.23821,                 1.3926,                 1.0767,                  1.146,               0.007162,               0.007162,               0.007162
